                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0972,                 6.0719,                 3.4951,                 2.7171,                 0.0141,                 0.1581,                0.00823,                0.00232,                0.01201,                0.13474,                0.00687,                0.00175,                      0,                      0,                    inf,                      0,                 0.0901,                 0.0011,                 0.0011
                      1,                 2.7672,                 1.5537,                 3.3412,                 2.5142,                0.02507,                0.28115,                0.01729,                0.00491,                0.02403,                0.26947,                0.01648,                0.00428,                      0,                      0,                    inf,                      0,               0.079292,              0.0022924,              0.0022924
                      2,                 2.3937,                 1.2853,                 3.0735,                 2.2187,                0.02167,                0.24299,                 0.0135,                0.00493,                0.02049,                0.22975,                0.01269,                0.00445,                      0,                      0,                    inf,                      0,               0.068477,              0.0034769,              0.0034769
                      3,                 2.1009,                 1.1836,                 2.7514,                 2.0283,                0.02757,                0.30919,                0.01849,                0.00922,                0.02764,                0.30997,                0.01852,                0.00885,                      0,                      0,                    inf,                      0,               0.057653,              0.0046535,              0.0046535
                      4,                 1.9869,                 1.1929,                 2.5442,                 1.9289,                0.03729,                0.41822,                0.04225,                0.02024,                0.03667,                0.41121,                0.04143,                0.01876,                      0,                      0,                    inf,                      0,               0.046822,              0.0058221,              0.0058221
                      5,                 2.0043,                 1.2279,                 2.4802,                  1.935,                0.04729,                0.53037,                 0.1094,                0.04704,                 0.0466,                0.52259,                0.10819,                0.04127,                      0,                      0,                    inf,                      0,               0.035983,              0.0069829,              0.0069829
                      6,                 1.9078,                 1.1799,                  2.478,                 1.8873,                0.05292,                0.59346,                0.09689,                0.03945,                0.05319,                0.59657,                0.09675,                 0.0364,                      0,                      0,                    inf,                      0,               0.025136,              0.0081357,              0.0081357
                      7,                 1.9293,                 1.2135,                  2.408,                 1.8502,                0.04618,                0.51791,                0.08822,                0.04054,                 0.0466,                0.52259,                0.08879,                0.04086,                      0,                      0,                    inf,                      0,               0.014281,              0.0092806,              0.0092806
                      8,                 1.8482,                 1.1166,                 2.3975,                  1.768,                0.02903,                0.31231,                0.03072,                0.00974,                0.02861,                0.32087,                0.02922,                0.00958,                      0,                      0,                    inf,                      0,               0.009736,               0.009736,               0.009736
                      9,                 1.9215,                 1.1488,                 2.4047,                 1.8393,                0.30755,                0.08489,                0.11357,                0.03356,                0.28622,                0.08022,                0.10342,                0.02929,                      0,                      0,                    inf,                      0,               0.009736,               0.009736,               0.009736
                     10,                 1.7571,                 1.1478,                 2.3959,                 1.7212,                0.11778,                 0.0919,                0.05443,                0.01953,                0.12028,                0.08723,                0.05357,                0.01904,                      0,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                     11,                  1.775,                 1.1416,                 2.3378,                 1.6853,                0.07535,                0.07087,                0.04016,                0.01574,                0.06873,                0.06464,                 0.0367,                0.01454,                      0,                      0,                    inf,                      0,                0.00967,                0.00967,                0.00967
                     12,                 1.8338,                  1.186,                 2.3635,                 1.7379,                0.11121,                0.18458,                0.08966,                0.03743,                0.10898,                0.18692,                0.08683,                0.03556,                      0,                      0,                    inf,                      0,               0.009637,               0.009637,               0.009637
                     13,                 1.7735,                 1.1781,                 2.3384,                 1.6903,                0.16303,                0.28115,                 0.1251,                0.04881,                0.15896,                0.27414,                0.12375,                0.04725,                      0,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                     14,                 1.7679,                 1.2187,                 2.3112,                 1.6872,                0.09496,                0.16667,                 0.0578,                0.01299,                0.09158,                0.15498,                0.05264,                0.01103,                      0,                      0,                    inf,                      0,               0.009571,               0.009571,               0.009571
                     15,                 1.7889,                 1.1692,                 2.3391,                 1.7253,                0.12561,                0.15966,                0.07106,                0.01401,                0.10043,                0.15343,                0.05749,                0.01164,                      0,                      0,                    inf,                      0,               0.009538,               0.009538,               0.009538
                     16,                  1.747,                 1.1304,                 2.3318,                 1.7078,                 0.2138,                0.17913,                0.11724,                0.04535,                0.20262,                0.18146,                0.11413,                0.04557,                      0,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                     17,                 1.6433,                 1.0852,                 2.3142,                 1.5991,                0.15806,                0.19938,                 0.1044,                0.02863,                0.15682,                0.19782,                0.10114,                0.02644,                      0,                      0,                    inf,                      0,               0.009472,               0.009472,               0.009472
                     18,                 1.7011,                 1.1186,                 2.2871,                 1.6315,                0.09403,                0.16355,                0.06053,                0.01401,                0.07446,                0.19913,                0.04558,                0.01153,                      0,                      0,                    inf,                      0,               0.009439,               0.009439,               0.009439
                     19,                 1.6562,                 1.0689,                 2.2917,                 1.5929,                0.18527,                0.24065,                0.10977,                 0.0312,                0.15643,                 0.2204,                0.08832,                0.02751,                      0,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                     20,                 1.6378,                 1.0799,                 2.2908,                  1.596,                0.21176,                0.34424,                0.16309,                0.04702,                0.20409,                0.33178,                0.15675,                0.04205,                      0,                      0,                    inf,                      0,               0.009373,               0.009373,               0.009373
                     21,                 1.6547,                  1.032,                 2.2539,                 1.5896,                0.18683,                 0.2866,                0.15812,                0.07748,                0.17898,                0.28271,                0.15524,                 0.0745,                      0,                      0,                    inf,                      0,                0.00934,                0.00934,                0.00934
                     22,                 1.6695,                 1.1165,                  2.235,                 1.5671,                0.22272,                0.18847,                 0.1355,                0.06332,                0.20209,                0.19081,                0.12983,                 0.0596,                      0,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                     23,                 1.6154,                 1.1152,                 2.2486,                 1.5519,                0.09166,                0.14798,                0.05846,                0.01547,                0.08309,                0.13707,                 0.0539,                0.01402,                      0,                      0,                    inf,                      0,               0.009274,               0.009274,               0.009274
                     24,                 1.6853,                  1.076,                 2.3107,                 1.6256,                0.17153,                0.18224,                0.09999,                 0.0414,                0.16039,                0.17601,                0.09356,                0.03894,                      0,                      0,                    inf,                      0,               0.009241,               0.009241,               0.009241
                     25,                 1.5528,                 1.0994,                 2.2218,                 1.5261,                0.33492,                0.21262,                0.19081,                0.09509,                0.33001,                 0.2095,                0.18786,                 0.0931,                      0,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     26,                 1.5403,                 1.0276,                 2.2227,                 1.5138,                0.24238,                0.15187,                  0.119,                0.04447,                0.24563,                0.15031,                0.11859,                0.04716,                      0,                      0,                    inf,                      0,               0.009175,               0.009175,               0.009175
                     27,                 1.6278,                 1.0977,                 2.2192,                 1.5513,                0.39759,                0.25598,                0.24539,                0.12536,                0.39759,                0.25598,                 0.2452,                0.12663,                      0,                      0,                    inf,                      0,               0.009142,               0.009142,               0.009142
                     28,                 1.5025,                 1.0693,                 2.2071,                 1.4721,                0.38761,                0.28505,                0.23688,                0.12828,                 0.3772,                0.28301,                0.23286,                0.12973,                      0,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
